3,1520
3,1599
3,1012
3,981
4,1055
4,1411
4,6
4,1451
5,1057
5,1020
5,1018
5,122
6,168
6,976
6,897
7,286
7,1493
7,1251
7,1327
8,1406
9,1531
9,1055
9,1212
9,85
10,1527
10,290
10,369
10,1250
11,1528
11,1330
11,291
11,1291
12,410
12,528
12,409
12,249
13,362
13,126
13,1412
13,167
14,1375
14,525
15,567
15,333
15,171
15,484
16,255
16,765
16,644
16,215
17,1456
18,639
18,843
18,683
18,100
19,679
19,883
19,683
19,1536
21,1538
21,104
22,217
22,1307
23,878
23,145
23,1540
24,1541
24,145
31,193
35,78
35,386
40,898
40,864
40,1562
40,855
41,1444
41,317
41,982
41,975
42,973
42,982
42,1562
42,977
43,1565
43,161
45,285
47,206
47,246
48,1566
48,1535
48,128
48,1055
49,1290
49,327
49,1496
49,1172
50,410
50,370
50,331
50,173
51,208
51,134
51,528
51,568
52,683
52,490
52,569
52,214
54,1454
54,1414
54,177
54,1494
55,1496
55,405
55,1495
55,404
56,1418
56,804
56,1534
56,880
57,600
57,216
57,1574
57,101
59,1577
59,602
62,993
62,998
62,185
62,145
70,430
70,186
70,1353
78,738
78,315
78,978
79,1403
79,864
81,934
81,1565
81,1444
81,357
82,316
82,782
83,84
83,1373
83,87
83,1295
84,1531
86,1374
87,288
87,1573
88,1535
88,407
88,131
88,328
89,524
89,1575
89,1487
89,1331
90,449
90,1488
90,564
90,524
91,411
91,607
91,1410
91,95
92,127
92,175
92,93
92,1414
93,762
94,216
94,406
94,1534
94,137
95,563
95,96
95,483
96,368
96,288
96,1458
97,407
97,999
97,215
97,1574
100,1463
100,643
100,801
101,963
101,723
101,337
102,1080
102,185
102,106
102,103
103,1550
103,800
106,110
110,469
110,186
110,1353
112,225
112,193
113,348
113,782
120,1054
120,904
120,1563
120,983
121,1446
121,357
121,1054
121,983
122,1171
122,1021
123,126
123,901
123,1175
123,1057
125,1492
125,979
125,126
127,445
127,328
127,1211
128,1527
128,1136
128,1411
129,1370
129,130
129,449
129,1217
130,490
130,247
130,169
131,725
131,1451
131,1373
132,1491
133,485
133,404
133,294
133,765
134,881
134,368
134,250
135,249
135,959
135,605
135,368
136,605
136,999
136,329
136,138
137,525
137,604
137,1577
138,566
138,140
138,724
139,375
139,645
139,884
139,336
140,924
140,1002
140,335
144,920
150,225
150,510
150,1353
155,309
158,1482
158,860
158,857
158,818
159,1565
159,1136
159,1525
159,355
160,1563
160,982
161,1021
165,1375
167,1329
168,1566
168,1177
168,1173
169,410
169,1488
169,564
170,529
170,1410
170,605
170,645
171,725
171,603
171,1490
173,803
173,1455
173,728
174,650
174,764
174,1534
174,329
175,445
176,803
176,960
176,921
176,446
177,689
177,921
178,217
178,921
178,416
178,376
180,1043
184,1001
185,1041
185,1159
193,862
198,513
200,1021
206,1566
206,1487
206,246
207,282
207,1217
207,1218
207,1177
208,605
208,489
208,369
209,529
209,490
209,647
209,1450
210,1490
210,214
210,1530
210,1569
211,334
